21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,"2,36,17,35,3","2,36,17,59,3","2,2,36,17,35,3,14,3","2,2,36,17,59,3,14,3","2,43,7,3",62
3.802,2.6771,0.0,0.0,2.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,2.715,1.95,8.394,0.0,0.986,1.179,0.0,0.0,0.0,1.083,0.0,0.0,0.0,0.0,1.848,0.131,0.0,0.0,2.885,0.0,0.0,4.0,5.0,2.937,2.357,3.0,6.869,0.0,0.0,8.394,6.869,2.127517164911399,1.9270185352317444,0.0,0.0
5.509,5.4486,2.0,0.0,0.0,0.0,0.0,29.6,6.0,1.0,0.0,0.0,5.083,2.383,10.95,6.0,0.961,1.132,0.0,0.0,0.0,1.397,0.0,0.0,0.0,0.0,2.414,0.0,0.0,0.0,3.022,0.0,0.0,0.0,0.0,10.428,1.604,0.0,14.7,0.0,0.0,16.95,20.7,2.830267833826459,3.0301337002713233,0.0,0.0
4.783,3.1253,2.0,0.0,0.0,0.0,2.0,46.7,1.0,0.0,0.0,0.0,3.439,1.187,9.668,0.0,1.012,1.103,0.0,0.0,0.0,1.346,1.0,0.0,1.0,0.0,2.222,-0.025,0.0,0.0,1.358,0.0,1.0,0.0,0.0,3.927,2.34,0.0,8.78,0.0,2.0,9.668,8.78,2.2688214628412364,2.172476407647025,0.8414709848078965,0.0
4.517,2.6567,1.0,0.0,0.0,0.0,1.0,44.4,1.0,0.0,0.0,0.0,3.265,1.409,9.391,0.0,0.986,1.112,0.0,0.0,0.0,1.311,1.0,0.0,1.0,0.0,2.149,-0.024,0.0,0.0,2.036,0.0,0.0,0.0,0.0,3.622,2.086,0.0,8.37,0.0,1.0,9.391,8.37,2.2397517838224763,2.1246538845013836,0.8414709848078965,0.0
4.475,3.5408,0.0,0.0,0.0,0.0,0.0,32.4,2.0,4.0,0.0,-0.855,4.103,3.664,10.32,6.0,0.982,1.14,0.0,0.0,0.0,1.181,0.0,0.0,0.0,0.0,2.105,0.0,0.0,23.157,9.847,0.0,0.0,0.0,0.0,3.474,2.083,0.0,8.622,0.0,0.0,16.32,14.622,2.792391349535961,2.682527243871124,0.0,1.0
3.618,2.445,0.0,0.0,0.0,0.0,0.0,21.4,1.0,1.0,0.0,0.0,2.41,1.522,7.853,0.0,0.997,1.169,0.0,0.0,0.0,1.079,0.0,0.0,0.0,0.0,1.732,0.375,0.0,0.0,2.094,0.0,0.0,1.0,2.0,2.872,2.7,1.0,6.534,0.0,0.0,7.853,6.534,2.0608956243927374,1.8770193131788784,0.0,1.0
3.618,2.8543,2.0,0.0,0.0,0.0,0.0,33.3,1.0,0.0,0.0,0.0,3.029,1.522,7.853,0.0,1.033,1.126,0.0,0.0,0.0,1.299,0.0,0.0,1.0,0.0,1.732,0.386,0.0,0.0,2.094,0.0,0.0,0.0,0.0,3.71,2.744,0.0,8.384,0.0,2.0,7.853,8.384,2.0608956243927374,2.1263251275786863,0.0,0.0
5.13,3.5144,0.0,0.0,0.0,1.0,0.0,30.0,5.0,1.0,0.0,0.0,3.061,1.761,10.106,1.0,0.972,1.145,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,2.175,-0.021,0.0,0.0,2.729,0.0,0.0,0.0,1.0,3.292,2.108,0.0,7.587,0.0,0.0,11.106,8.587,2.4074855028194153,2.1502494316903475,0.0,0.0
5.006,3.7881,0.0,0.0,2.0,0.0,3.0,35.3,0.0,5.0,4.0,0.0,3.591,1.23,10.309,10.0,1.101,1.145,0.0,2.0,0.0,1.185,1.0,0.0,0.0,0.0,2.338,-0.003,0.0,40.816,1.873,0.0,3.0,4.0,1.0,3.941,3.769,2.0,8.927,0.0,0.0,20.308999999999997,18.927,3.0110641375509726,2.940589474056782,0.8414709848078965,0.0
