21,22,23,24,25,26,27,28,29,30,31,32,"2,21,5,3","2,22,5,3","2,23,5,3","2,24,5,3","2,25,5,3","2,26,5,3","2,27,5,3","2,28,5,3","2,31,5,3","2,29,11,3","2,30,11,3",33
2.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,25.42,30.305,0.69,7.0015,1.4142135623730951,0.0,2.23606797749979,3.0,0.0,0.0,0.0,0.0,0.8306623862918074,0.22448979591836737,0.230909829406986,189.0
1.0,0.0,12.0,4.0,1.0,1.0,0.0,0.0,13.94,15.15,0.46,19.9995,1.0,0.0,3.4641016151377544,2.0,1.0,1.0,0.0,0.0,0.6782329983125268,-0.34693877551020413,-0.3846466287571081,2.0
3.0,1.0,12.0,13.0,0.0,5.0,1.0,2.0,14.76,17.424999999999997,0.66,8.9981,1.7320508075688772,1.0,3.4641016151377544,3.605551275463989,0.0,2.23606797749979,1.0,1.4142135623730951,0.812403840463596,-0.30612244897959184,-0.2922420796100733,220.0
1.0,1.0,3.0,6.0,0.0,1.0,1.0,0.0,7.38,9.85,0.59,8.9981,1.0,1.0,1.7320508075688772,2.449489742783178,0.0,1.0,1.0,0.0,0.7681145747868608,-0.6734693877551021,-0.5999187652315191,91.0
2.0,1.0,4.0,13.0,0.0,2.0,1.0,0.0,22.96,26.515,0.19,16.997899999999998,1.4142135623730951,1.0,2.0,3.605551275463989,0.0,1.4142135623730951,1.0,0.0,0.43588989435406733,0.10204081632653073,0.07696994313566208,345.0
3.0,0.0,12.0,0.0,0.0,4.0,1.0,0.0,13.12,15.909999999999998,0.7,11.0014,1.7320508075688772,0.0,3.4641016151377544,0.0,0.0,2.0,1.0,0.0,0.8366600265340756,-0.3877551020408164,-0.35377741673436236,50.0
3.0,1.0,11.0,2.0,0.0,6.0,0.0,0.0,10.66,12.88,0.65,12.998,1.7320508075688772,1.0,3.3166247903554,1.4142135623730951,0.0,2.449489742783178,0.0,0.0,0.806225774829855,-0.5102040816326531,-0.4768480909829407,49.0
0.0,1.0,9.0,13.0,0.0,0.0,0.0,3.0,29.52,34.85,0.74,6.0032,0.0,1.0,3.0,3.605551275463989,0.0,0.0,0.0,1.7320508075688772,0.8602325267042626,0.4285714285714286,0.4155158407798538,493.0
1.0,0.0,3.0,11.0,0.0,0.0,0.0,2.0,17.22,21.21,1.0,15.0013,1.0,0.0,1.7320508075688772,3.3166247903554,0.0,0.0,0.0,1.4142135623730951,1.0,-0.1836734693877552,-0.13850528025995124,62.0
2.0,1.0,6.0,7.0,0.0,2.0,1.0,0.0,19.68,23.485,0.77,19.9995,1.4142135623730951,1.0,2.449489742783178,2.6457513110645907,0.0,1.4142135623730951,1.0,0.0,0.8774964387392122,-0.061224489795918435,-0.04610073111291646,569.0
1.0,1.0,3.0,23.0,0.0,4.0,1.0,0.0,19.68,23.485,0.72,12.998,1.0,1.0,1.7320508075688772,4.795831523312719,0.0,2.0,1.0,0.0,0.848528137423857,-0.061224489795918435,-0.04610073111291646,97.0
1.0,1.0,2.0,10.0,0.0,4.0,1.0,3.0,13.12,16.665,0.7,8.9981,1.0,1.0,1.4142135623730951,3.1622776601683795,0.0,2.0,1.0,1.7320508075688772,0.8366600265340756,-0.3877551020408164,-0.32311129163281893,44.0
0.0,0.0,8.0,11.0,0.0,3.0,1.0,0.0,29.52,33.335,0.54,19.9995,0.0,0.0,2.8284271247461903,3.3166247903554,0.0,1.7320508075688772,1.0,0.0,0.7348469228349535,0.4285714285714286,0.35398050365556455,185.0
1.0,1.0,1.0,6.0,0.0,3.0,1.0,0.0,13.94,14.395,0.36,35.0008,1.0,1.0,1.0,2.449489742783178,0.0,1.7320508075688772,1.0,0.0,0.6,-0.34693877551020413,-0.4153127538586515,88.0
1.0,1.0,2.0,22.0,0.0,3.0,1.0,2.0,18.04,21.97,0.47,16.997899999999998,1.0,1.0,1.4142135623730951,4.69041575982343,0.0,1.7320508075688772,1.0,1.4142135623730951,0.6855654600401044,-0.1428571428571429,-0.10763606823720562,147.0
1.0,1.0,2.0,6.0,0.0,1.0,1.0,0.0,6.5600000000000005,9.09,0.86,7.0015,1.0,1.0,1.4142135623730951,2.449489742783178,0.0,1.0,1.0,0.0,0.9273618495495703,-0.7142857142857143,-0.6307879772542648,72.0
