21,22,23,24,25,"2,22,9,3","2,23,9,3","2,24,9,3","2,2,21,9,3,9,3","2,2,22,9,3,9,3","2,2,23,9,3,9,3","2,2,24,9,3,9,3",26
6.0,5.0,0.0,1.0,0.7,0.9999092042625951,0.0,0.7615941559557649,0.7615889951160996,0.7615560214388488,0.0,0.6420149920119997,1.0
0.0,10.0,0.0,1.0,52.0,0.9999999958776927,0.0,0.7615941559557649,0.0,0.7615941542245016,0.0,0.6420149920119997,0.0
8.0,3.0,1.0,1.0,4.4,0.9950547536867305,0.7615941559557649,0.7615941559557649,0.7615940614319875,0.7595094447988621,0.6420149920119997,0.6420149920119997,1.0
9.0,13.0,0.0,1.0,0.5,0.9999999999897818,0.0,0.7615941559557649,0.7615941431633633,0.7615941559514735,0.0,0.6420149920119997,0.0
12.0,16.0,0.0,1.0,3.9,0.9999999999999747,0.0,0.7615941559557649,0.7615941559240557,0.7615941559557542,0.0,0.6420149920119997,1.0
12.0,16.0,1.0,1.0,0.8,0.9999999999999747,0.7615941559557649,0.7615941559557649,0.7615941559240557,0.7615941559557542,0.6420149920119997,0.6420149920119997,1.0
6.0,9.0,0.0,0.0,14.0,0.9999999695400409,0.0,0.0,0.7615889951160996,0.7615941431633633,0.0,0.0,0.0
15.0,16.0,1.0,1.0,4.0,0.9999999999999747,0.7615941559557649,0.7615941559557649,0.7615941559556862,0.7615941559557542,0.6420149920119997,0.6420149920119997,1.0
15.0,8.0,0.0,1.0,16.4,0.9999997749296758,0.0,0.7615941559557649,0.7615941559556862,0.7615940614319875,0.0,0.6420149920119997,0.0
15.0,12.0,1.0,0.0,0.4,0.9999999999244973,0.7615941559557649,0.0,0.7615941559556862,0.7615941559240557,0.6420149920119997,0.0,1.0
0.0,16.0,1.0,1.0,12.6,0.9999999999999747,0.7615941559557649,0.7615941559557649,0.0,0.7615941559557542,0.6420149920119997,0.6420149920119997,1.0
5.0,13.0,1.0,1.0,0.8,0.9999999999897818,0.7615941559557649,0.7615941559557649,0.7615560214388488,0.7615941559514735,0.6420149920119997,0.6420149920119997,1.0
5.0,8.0,0.0,1.0,50.1,0.9999997749296758,0.0,0.7615941559557649,0.7615560214388488,0.7615940614319875,0.0,0.6420149920119997,0.0
8.0,13.0,1.0,0.0,0.0,0.9999999999897818,0.7615941559557649,0.0,0.7615940614319875,0.7615941559514735,0.6420149920119997,0.0,1.0
12.0,6.0,0.0,0.0,0.0,0.9999877116507956,0.0,0.0,0.7615941559240557,0.7615889951160996,0.0,0.0,1.0
4.0,14.0,1.0,0.0,0.0,0.9999999999986171,0.7615941559557649,0.0,0.7613123351430517,0.7615941559551841,0.6420149920119997,0.0,1.0
7.0,0.0,1.0,0.0,3.1,0.0,0.7615941559557649,0.0,0.7615934575140083,0.0,0.6420149920119997,0.0,1.0
1.0,5.0,0.0,0.0,0.0,0.9999092042625951,0.0,0.0,0.6420149920119997,0.7615560214388488,0.0,0.0,1.0
2.0,16.0,0.0,1.0,50.7,0.9999999999999747,0.0,0.7615941559557649,0.7460679984455996,0.7615941559557542,0.0,0.6420149920119997,0.0
12.0,5.0,1.0,1.0,0.7,0.9999092042625951,0.7615941559557649,0.7615941559557649,0.7615941559240557,0.7615560214388488,0.6420149920119997,0.6420149920119997,1.0
9.0,14.0,1.0,0.0,0.0,0.9999999999986171,0.7615941559557649,0.0,0.7615941431633633,0.7615941559551841,0.6420149920119997,0.0,1.0
10.0,16.0,0.0,0.0,13.0,0.9999999999999747,0.0,0.0,0.7615941542245016,0.7615941559557542,0.0,0.0,1.0
2.0,3.0,0.0,1.0,61.3,0.9950547536867305,0.0,0.7615941559557649,0.7460679984455996,0.7595094447988621,0.0,0.6420149920119997,0.0
3.0,2.0,1.0,0.0,0.5,0.9640275800758169,0.7615941559557649,0.0,0.7595094447988621,0.7460679984455996,0.6420149920119997,0.0,1.0
9.0,13.0,1.0,0.0,0.0,0.9999999999897818,0.7615941559557649,0.0,0.7615941431633633,0.7615941559514735,0.6420149920119997,0.0,1.0
15.0,7.0,0.0,0.0,1.4,0.9999983369439447,0.0,0.0,0.7615941559556862,0.7615934575140083,0.0,0.0,1.0
11.0,0.0,1.0,1.0,11.6,0.0,0.7615941559557649,0.7615941559557649,0.7615941557214638,0.0,0.6420149920119997,0.6420149920119997,1.0
15.0,5.0,0.0,1.0,2.9,0.9999092042625951,0.0,0.7615941559557649,0.7615941559556862,0.7615560214388488,0.0,0.6420149920119997,1.0
6.0,6.0,1.0,1.0,5.2,0.9999877116507956,0.7615941559557649,0.7615941559557649,0.7615889951160996,0.7615889951160996,0.6420149920119997,0.6420149920119997,1.0
9.0,16.0,1.0,0.0,5.2,0.9999999999999747,0.7615941559557649,0.0,0.7615941431633633,0.7615941559557542,0.6420149920119997,0.0,1.0
0.0,11.0,1.0,1.0,40.5,0.9999999994421064,0.7615941559557649,0.7615941559557649,0.0,0.7615941557214638,0.6420149920119997,0.6420149920119997,0.0
12.0,11.0,0.0,1.0,96.2,0.9999999994421064,0.0,0.7615941559557649,0.7615941559240557,0.7615941557214638,0.0,0.6420149920119997,0.0
7.0,0.0,1.0,1.0,5.4,0.0,0.7615941559557649,0.7615941559557649,0.7615934575140083,0.0,0.6420149920119997,0.6420149920119997,1.0
12.0,12.0,0.0,0.0,1.2,0.9999999999244973,0.0,0.0,0.7615941559240557,0.7615941559240557,0.0,0.0,1.0
5.0,3.0,1.0,0.0,2.7,0.9950547536867305,0.7615941559557649,0.0,0.7615560214388488,0.7595094447988621,0.6420149920119997,0.0,1.0
12.0,16.0,0.0,0.0,0.0,0.9999999999999747,0.0,0.0,0.7615941559240557,0.7615941559557542,0.0,0.0,1.0
2.0,14.0,1.0,0.0,0.0,0.9999999999986171,0.7615941559557649,0.0,0.7460679984455996,0.7615941559551841,0.6420149920119997,0.0,1.0
16.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.7615941559557542,0.0,0.0,0.0,1.0
7.0,1.0,1.0,1.0,1.6,0.7615941559557649,0.7615941559557649,0.7615941559557649,0.7615934575140083,0.6420149920119997,0.6420149920119997,0.6420149920119997,1.0
8.0,12.0,0.0,0.0,0.0,0.9999999999244973,0.0,0.0,0.7615940614319875,0.7615941559240557,0.0,0.0,1.0
4.0,4.0,0.0,0.0,49.0,0.999329299739067,0.0,0.0,0.7613123351430517,0.7613123351430517,0.0,0.0,1.0
8.0,6.0,1.0,0.0,0.0,0.9999877116507956,0.7615941559557649,0.0,0.7615940614319875,0.7615889951160996,0.6420149920119997,0.0,1.0
