21,22,23,24,25,26,27,28,29,30,31,32,"2,21,12,3","2,22,12,3","2,23,12,3","2,24,12,3","2,25,12,3","2,26,12,3","2,27,12,3","2,28,12,3","2,31,12,3",33
3.0,1.0,11.0,1.0,0.0,4.0,1.0,2.0,10.66,13.635,0.65,7.0015,1.0,1.0,0.8758758758758758,0.06306306306306306,0.0,0.6406406406406406,1.0,0.7872872872872873,0.527027027027027,16.0
0.0,0.0,9.0,2.0,0.0,3.0,1.0,2.0,22.14,25.76,0.94,15.0013,0.0,0.0,0.7097097097097097,0.1041041041041041,0.0,0.4984984984984985,1.0,0.7872872872872873,0.9674674674674675,6.0
0.0,0.0,9.0,1.0,0.0,1.0,1.0,2.0,21.32,25.0,0.72,7.0015,0.0,0.0,0.7097097097097097,0.06306306306306306,0.0,0.2147147147147147,1.0,0.7872872872872873,0.6426426426426426,10.0
1.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,16.400000000000002,20.455,0.37,19.9995,0.3808808808808809,1.0,0.0,0.6861861861861862,0.0,0.0,0.0,0.0,0.10010010010010009,314.0
2.0,1.0,4.0,16.0,0.0,5.0,1.0,0.0,20.5,24.24,0.22,27.9993,0.632132132132132,1.0,0.2877877877877878,0.6861861861861862,0.0,0.7817817817817818,1.0,0.0,0.008508508508508508,536.0
1.0,1.0,1.0,8.0,0.0,3.0,1.0,0.0,0.8200000000000001,3.03,0.44,8.9981,0.3808808808808809,1.0,0.0,0.3513513513513513,0.0,0.4984984984984985,1.0,0.0,0.1961961961961962,315.0
2.0,1.0,4.0,13.0,0.0,5.0,1.0,0.0,18.04,21.97,0.33,22.0028,0.632132132132132,1.0,0.2877877877877878,0.5615615615615616,0.0,0.7817817817817818,1.0,0.0,0.05905905905905906,411.0
2.0,1.0,4.0,10.0,0.0,6.0,0.0,0.0,24.6,30.305,0.64,19.0012,0.632132132132132,1.0,0.2877877877877878,0.4344344344344344,0.0,1.0,0.0,0.0,0.509009009009009,482.0
2.0,0.0,5.0,13.0,1.0,1.0,0.0,0.0,35.26,39.395,0.44,6.0032,0.632132132132132,0.0,0.3713713713713714,0.5615615615615616,1.0,0.2147147147147147,0.0,0.0,0.1961961961961962,350.0
2.0,1.0,5.0,5.0,0.0,6.0,0.0,0.0,18.86,22.725,0.67,0.0,0.632132132132132,1.0,0.3713713713713714,0.22522522522522523,0.0,1.0,0.0,0.0,0.5655655655655656,12.0
2.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,9.84,10.605,0.32,19.9995,0.632132132132132,0.0,0.2032032032032032,0.14414414414414414,0.0,0.35485485485485485,1.0,0.0,0.05205205205205205,3.0
0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,27.06,31.06,0.54,6.0032,0.0,0.0,0.45695695695695693,0.39289289289289286,0.0,0.0,0.0,0.0,0.3508508508508508,206.0
0.0,1.0,7.0,22.0,0.0,4.0,1.0,3.0,27.06,29.545,0.89,16.997899999999998,0.0,1.0,0.5430430430430431,0.9354354354354354,0.0,0.6406406406406406,1.0,1.0,0.9254254254254254,68.0
0.0,1.0,8.0,4.0,0.0,2.0,1.0,0.0,27.880000000000003,31.82,0.83,8.9981,0.0,1.0,0.627127127127127,0.18368368368368368,0.0,0.35485485485485485,1.0,0.0,0.8213213213213213,9.0
3.0,1.0,9.0,13.0,0.0,1.0,1.0,0.0,24.6,31.06,0.31,19.9995,1.0,1.0,0.7097097097097097,0.5615615615615616,0.0,0.2147147147147147,1.0,0.0,0.046546546546546545,328.0
3.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,14.76,18.18,0.57,7.0015,1.0,0.0,0.8758758758758758,0.1041041041041041,0.0,0.0,0.0,0.0,0.40140140140140135,57.0
